City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
265,bor,56.3567,44.0669,14.96,88,29,2.99,RU,1722657995
266,ugoofaaru,5.6667,73.0,28.51,71,100,3.7,MV,1722657996
267,pizarro,4.9533,-77.366,25.73,89,81,2.67,CO,1722657996
268,souillac,-20.5167,57.5167,19.64,94,40,0.0,MU,1722657996
269,hakui,36.8833,136.7833,35.08,66,0,3.09,JP,1722657996
270,kihurio,-4.4667,38.0667,18.27,87,69,1.36,TZ,1722657996
271,adiake,5.2863,-3.304,23.05,92,99,2.45,CI,1722657742
272,charters towers,-20.1,146.2667,24.09,27,0,5.96,AU,1722657996
273,val-d'or,48.1002,-77.7828,24.05,69,100,1.54,CA,1722657733
274,hammerfest,70.6634,23.6821,16.25,77,9,0.0,NO,1722657996
275,columbia,34.0007,-81.0348,27.87,84,0,2.57,US,1722657379
276,lazaro cardenas,17.9583,-102.2,27.25,76,100,1.16,MX,1722657997
277,westport,41.1415,-73.3579,25.74,85,100,1.79,US,1722657742
278,mimoso do sul,-21.0642,-41.3664,18.74,87,100,1.23,BR,1722657999
279,turpan,42.9333,89.1667,40.5,9,37,1.25,CN,1722658000
280,hurghada,27.2574,33.8129,32.02,20,0,4.12,EG,1722657818
281,nagqu,31.5,92.0,8.75,68,99,1.06,CN,1722658000
282,baotou,40.6522,109.8222,22.53,70,94,4.7,CN,1722658000
283,vorkuta,67.5,64.0,20.31,54,58,7.63,RU,1722658000
284,pijino del carmen,9.3291,-74.453,24.13,95,92,1.49,CO,1722658000
285,dwarka,22.2394,68.9678,28.32,85,100,9.62,IN,1722658000
286,gaspe,48.8334,-64.4819,19.12,88,0,0.0,CA,1722658000
287,kingston,17.997,-76.7936,28.53,84,75,4.63,JM,1722657804
288,hammond,41.5834,-87.5,24.47,88,0,1.54,US,1722658001
289,maceio,-9.6658,-35.7353,22.69,83,40,3.09,BR,1722658001
290,bom jesus,-9.0744,-44.3586,22.47,45,49,0.34,BR,1722658001
291,mahibadhoo,3.7833,72.9667,28.24,69,89,0.8,MV,1722658001
292,praia da vitoria,38.7333,-27.0667,21.53,86,0,1.3,PT,1722658001
293,embrun,44.5639,6.4953,17.37,74,0,2.48,FR,1722658002
294,peniche,39.3558,-9.3811,20.11,91,4,8.46,PT,1722658002
295,khanty-mansiysk,61.0042,69.0019,19.06,94,20,3.0,RU,1722658003
296,cidade velha,14.9167,-23.6167,25.26,73,75,2.57,CV,1722658004
297,port saint john's,-31.6229,29.5448,14.64,83,0,2.87,ZA,1722658004
298,makokou,0.5738,12.8642,20.28,93,64,1.8,GA,1722658004
299,vilyuchinsk,52.9306,158.4028,22.15,75,77,3.97,RU,1722658004
300,holdrege,40.4403,-99.3698,23.6,75,0,3.6,US,1722658004
301,flying fish cove,-10.4217,105.6791,26.82,78,100,6.17,CX,1722658005
302,nizhniy lomov,53.5304,43.6766,15.84,83,10,4.9,RU,1722658005
303,constantia,44.1833,28.65,20.39,68,10,5.72,RO,1722658005
304,sinabang,2.4803,96.3801,27.58,73,100,2.37,ID,1722658005
305,trincomalee,8.5711,81.2335,29.87,66,100,7.49,LK,1722658005
306,hola,51.5377,23.1902,17.1,71,100,2.62,PL,1722658005
307,arraial do cabo,-22.9661,-42.0278,21.89,78,0,9.03,BR,1722657724
308,thanh hoa,19.8,105.7667,31.57,62,99,2.94,VN,1722658005
309,chopda,21.25,75.3,24.92,95,100,3.02,IN,1722658006
310,port hedland,-20.3167,118.5667,20.03,83,75,5.66,AU,1722658006
311,quiberon,47.4841,-3.1196,18.95,77,70,5.76,FR,1722658007
312,vredendal,-31.6683,18.5012,11.12,32,0,3.55,ZA,1722658007
313,boyalik,41.2634,28.6314,22.51,79,0,0.25,TR,1722658007
314,terme,41.2092,36.9739,18.96,75,0,1.4,TR,1722658007
315,san patricio,28.017,-97.5169,29.94,75,31,3.96,US,1722658007
316,ulsteinvik,62.3432,5.8487,14.31,84,14,2.24,NO,1722658007
317,namibe,-15.1961,12.1522,17.6,90,0,1.52,AO,1722658008
318,roma,43.2128,-75.4557,22.07,99,100,0.0,US,1722658008
319,catalao,-18.1658,-47.9464,17.91,45,9,3.28,BR,1722658008
